pattern,coverage,protection,input_size,hidden_size,output_size,weights_affected,biases_affected,injected_faults,detected_faults,corrected_faults,mse,correction_rate
SINGLE_BIT,1,disabled,8,16,4,2,0,2,2,0,0.000000,0.000000
SINGLE_BIT,1,enabled,8,16,4,4,0,2,2,10600,0.000000,530000.000000
SINGLE_BIT,5,disabled,8,16,4,11,2,10,10,0,0.003980,0.000000
SINGLE_BIT,5,enabled,8,16,4,19,4,10,10,10600,0.000000,106000.000000
SINGLE_BIT,10,disabled,8,16,4,32,8,21,21,0,inf,0.000000
SINGLE_BIT,10,enabled,8,16,4,49,9,21,21,10850,0.000000,51666.666667
SINGLE_BIT,20,disabled,8,16,4,78,12,42,42,0,inf,0.000000
SINGLE_BIT,20,enabled,8,16,4,98,13,42,42,12000,0.000000,28571.428571
SINGLE_BIT,30,disabled,8,16,4,126,14,63,63,0,inf,0.000000
SINGLE_BIT,30,enabled,8,16,4,145,15,63,63,15500,0.021810,24603.174603
ADJACENT_BITS,1,disabled,8,16,4,145,15,2,2,0,inf,0.000000
ADJACENT_BITS,1,enabled,8,16,4,146,15,2,2,15950,0.000000,797500.000000
ADJACENT_BITS,5,disabled,8,16,4,148,16,10,10,0,inf,0.000000
ADJACENT_BITS,5,enabled,8,16,4,149,16,10,10,17950,0.020164,179500.000000
ADJACENT_BITS,10,disabled,8,16,4,154,16,21,21,0,inf,0.000000
ADJACENT_BITS,10,enabled,8,16,4,156,16,21,21,20600,0.000000,98095.238095
ADJACENT_BITS,20,disabled,8,16,4,161,16,42,42,0,inf,0.000000
ADJACENT_BITS,20,enabled,8,16,4,169,16,42,42,27300,inf,65000.000000
ADJACENT_BITS,30,disabled,8,16,4,176,17,63,63,0,inf,0.000000
ADJACENT_BITS,30,enabled,8,16,4,181,18,63,63,40550,0.004936,64365.079365
BYTE_ERROR,1,disabled,8,16,4,181,18,2,2,0,inf,0.000000
BYTE_ERROR,1,enabled,8,16,4,181,18,2,2,42000,0.000038,2100000.000000
BYTE_ERROR,5,disabled,8,16,4,181,18,10,10,0,inf,0.000000
BYTE_ERROR,5,enabled,8,16,4,181,18,10,10,47600,inf,476000.000000
BYTE_ERROR,10,disabled,8,16,4,181,18,21,21,0,inf,0.000000
BYTE_ERROR,10,enabled,8,16,4,181,18,21,21,58750,0.188847,279761.904762
BYTE_ERROR,20,disabled,8,16,4,183,18,42,42,0,inf,0.000000
BYTE_ERROR,20,enabled,8,16,4,186,18,42,42,80950,0.081461,192738.095238
BYTE_ERROR,30,disabled,8,16,4,188,18,63,63,0,inf,0.000000
BYTE_ERROR,30,enabled,8,16,4,188,19,63,63,109600,inf,173968.253968
WORD_ERROR,1,disabled,8,16,4,188,19,2,2,0,inf,0.000000
WORD_ERROR,1,enabled,8,16,4,188,19,2,2,113000,0.001499,5650000.000000
WORD_ERROR,5,disabled,8,16,4,188,19,10,10,0,inf,0.000000
WORD_ERROR,5,enabled,8,16,4,189,19,10,10,127250,14600719293870674437163572002816.000000,1272500.000000
WORD_ERROR,10,disabled,8,16,4,189,19,21,21,0,inf,0.000000
WORD_ERROR,10,enabled,8,16,4,190,19,21,21,153050,nan,728809.523810
WORD_ERROR,20,disabled,8,16,4,190,19,42,42,0,inf,0.000000
WORD_ERROR,20,enabled,8,16,4,191,19,42,42,191450,nan,455833.333333
WORD_ERROR,30,disabled,8,16,4,192,19,63,63,0,nan,0.000000
WORD_ERROR,30,enabled,8,16,4,191,20,63,63,217450,inf,345158.730159
STUCK_AT_ZERO,1,disabled,8,16,4,191,20,2,2,0,inf,0.000000
STUCK_AT_ZERO,1,enabled,8,16,4,191,20,2,2,217450,0.000000,10872500.000000
STUCK_AT_ZERO,5,disabled,8,16,4,191,20,10,10,0,inf,0.000000
STUCK_AT_ZERO,5,enabled,8,16,4,191,20,10,10,219050,0.000000,2190500.000000
STUCK_AT_ZERO,10,disabled,8,16,4,191,20,21,21,0,inf,0.000000
STUCK_AT_ZERO,10,enabled,8,16,4,191,20,21,21,219000,inf,1042857.142857
STUCK_AT_ZERO,20,disabled,8,16,4,191,20,42,42,0,inf,0.000000
STUCK_AT_ZERO,20,enabled,8,16,4,191,20,42,42,221100,306953821386526949376.000000,526428.571429
STUCK_AT_ZERO,30,disabled,8,16,4,191,20,63,63,0,inf,0.000000
STUCK_AT_ZERO,30,enabled,8,16,4,191,20,63,63,221850,inf,352142.857143
STUCK_AT_ONE,1,disabled,8,16,4,191,20,2,2,0,inf,0.000000
STUCK_AT_ONE,1,enabled,8,16,4,191,20,2,2,221900,0.000000,11095000.000000
STUCK_AT_ONE,5,disabled,8,16,4,191,20,10,10,0,inf,0.000000
STUCK_AT_ONE,5,enabled,8,16,4,191,20,10,10,222000,inf,2220000.000000
STUCK_AT_ONE,10,disabled,8,16,4,191,20,21,21,0,inf,0.000000
STUCK_AT_ONE,10,enabled,8,16,4,192,20,21,21,222300,nan,1058571.428571
STUCK_AT_ONE,20,disabled,8,16,4,192,20,42,42,0,nan,0.000000
STUCK_AT_ONE,20,enabled,8,16,4,192,20,42,42,224600,nan,534761.904762
STUCK_AT_ONE,30,disabled,8,16,4,192,20,63,63,0,nan,0.000000
STUCK_AT_ONE,30,enabled,8,16,4,192,20,63,63,228900,nan,363333.333333
ROW_COLUMN,1,disabled,8,16,4,192,20,2,2,0,nan,0.000000
ROW_COLUMN,1,enabled,8,16,4,192,20,2,2,230050,nan,11502500.000000
ROW_COLUMN,5,disabled,8,16,4,192,20,10,10,0,nan,0.000000
ROW_COLUMN,5,enabled,8,16,4,192,20,10,10,230050,nan,2300500.000000
ROW_COLUMN,10,disabled,8,16,4,192,20,21,21,0,nan,0.000000
ROW_COLUMN,10,enabled,8,16,4,192,20,21,21,232700,nan,1108095.238095
ROW_COLUMN,20,disabled,8,16,4,192,20,42,42,0,nan,0.000000
ROW_COLUMN,20,enabled,8,16,4,192,20,42,42,233700,nan,556428.571429
ROW_COLUMN,30,disabled,8,16,4,192,20,63,63,0,nan,0.000000
ROW_COLUMN,30,enabled,8,16,4,192,20,63,63,235450,nan,373730.158730
BURST_ERROR,1,disabled,8,16,4,192,20,2,2,0,nan,0.000000
BURST_ERROR,1,enabled,8,16,4,192,20,2,2,235650,nan,11782500.000000
BURST_ERROR,5,disabled,8,16,4,192,20,10,10,0,nan,0.000000
BURST_ERROR,5,enabled,8,16,4,192,20,10,10,235350,nan,2353500.000000
BURST_ERROR,10,disabled,8,16,4,192,20,21,21,0,nan,0.000000
BURST_ERROR,10,enabled,8,16,4,192,20,21,21,234950,nan,1118809.523810
BURST_ERROR,20,disabled,8,16,4,192,20,42,42,0,nan,0.000000
BURST_ERROR,20,enabled,8,16,4,192,20,42,42,238750,nan,568452.380952
BURST_ERROR,30,disabled,8,16,4,192,20,63,63,0,nan,0.000000
BURST_ERROR,30,enabled,8,16,4,192,20,63,63,238550,nan,378650.793651
